Stress and strain data from a mechanical pull test,
,
Strain (uin/in),Stress (MPa)
The moving average window size of this data is 10
52.710504655,67.63590271999999
67.63590271999999,56.64956541000001
56.64956541000001,56.11297134
56.11297134,56.078999675
56.078999675,55.522065295
55.522065295,47.71703185
47.71703185,57.41861921
57.41861921,45.3193432
45.3193432,45.459838535
45.459838535,55.477803155
55.477803155,49.72437402999999
49.72437402999999,55.213032185
55.213032185,66.98732105
66.98732105,54.412539710000004
54.412539710000004,60.521941095
60.521941095,50.144483075
50.144483075,58.902935885000005
58.902935885000005,49.173288915
49.173288915,63.406834035
63.406834035,51.90163871
51.90163871,54.546642999999996
54.546642999999996,56.30192754
56.30192754,61.1465006
61.1465006,52.642996124999996
52.642996124999996,59.10879334
59.10879334,51.26139609
51.26139609,58.912404985
58.912404985,52.287797535
52.287797535,57.157777265
57.157777265,62.33141823
62.33141823,57.204965044999994
57.204965044999994,56.735623835000005
56.735623835000005,55.741872310000005
55.741872310000005,57.830671595
57.830671595,49.575951855
49.575951855,57.93711963
57.93711963,51.860441540000004
51.860441540000004,65.193707115
65.193707115,65.700121545
65.700121545,63.895013344999995
63.895013344999995,59.883857585
59.883857585,74.06592116
74.06592116,65.10543885
65.10543885,64.59420174
64.59420174,51.97211262
51.97211262,65.034377545
65.034377545,70.073193595
70.073193595,66.94930654000001
66.94930654000001,51.35875713
51.35875713,64.86064615
64.86064615,64.32941113
64.32941113,71.07431270500001
71.07431270500001,68.75777257
68.75777257,63.02226074
63.02226074,55.01610888
55.01610888,66.408740325
66.408740325,64.79621401
64.79621401,68.838979115
68.838979115,61.228086015
61.228086015,68.588390515
68.588390515,61.19203235
61.19203235,56.499852545
56.499852545,75.96890464500001
75.96890464500001,61.993889519999996
61.993889519999996,62.047093645
62.047093645,68.33907563
68.33907563,61.446890625
61.446890625,68.698386795
68.698386795,62.37445544
62.37445544,68.546459295
68.546459295,67.48072673499999
67.48072673499999,67.548061325
67.548061325,68.94922429
68.94922429,70.402000745
70.402000745,67.779543455
67.779543455,59.498827969999994
59.498827969999994,70.762002505
70.762002505,54.3852360975
54.3852360975,74.1115906
74.1115906,78.793734995
78.793734995,65.88653513999999
65.88653513999999,78.29109466
78.29109466,78.349614065
78.349614065,65.438208205
65.438208205,66.871772345
66.871772345,66.18199096
66.18199096,76.15532396500001
76.15532396500001,68.556309905
68.556309905,66.62031079
66.62031079,71.56045097
71.56045097,68.01154398
68.01154398,62.030755205000006
62.030755205000006,76.854206725
76.854206725,78.018951575
78.018951575,65.329237955
65.329237955,68.59819702499999
68.59819702499999,68.19935393
68.19935393,69.89206569000001
69.89206569000001,68.527614485
68.527614485,62.65805238
62.65805238,78.03034954
78.03034954,69.118324355
69.118324355,64.43205321
64.43205321,77.290303335
77.290303335,73.098695525
73.098695525,66.77961508
66.77961508,76.47990938000001
76.47990938000001,74.551158595
74.551158595,89.485453005
89.485453005,70.089050465
70.089050465,66.097571855
66.097571855,84.32985891
84.32985891,70.794899925
70.794899925,72.89117042000001
72.89117042000001,81.734225185
81.734225185,63.38115368
63.38115368,75.47886105500001
75.47886105500001,77.91415937
77.91415937,90.16348547
90.16348547,70.535431745
70.535431745,78.10207221499999
78.10207221499999,80.98338949500001
80.98338949500001,68.458300835
68.458300835,79.637301675
79.637301675,80.99051255
80.99051255,80.583819755
80.583819755,78.66900631
78.66900631,65.146110795
65.146110795,75.07261633
75.07261633,78.133658375
78.133658375,83.80878914499999
83.80878914499999,70.47702352
70.47702352,93.881187295
93.881187295,80.45023888
80.45023888,78.061328425
78.061328425,78.589729425
78.589729425,80.419212805
80.419212805,71.174011585
71.174011585,71.17243478
71.17243478,84.57118003
84.57118003,89.1734151
89.1734151,80.970205805
80.970205805,78.42866532
78.42866532,74.792621655
74.792621655,83.79703499
83.79703499,78.52583846499999
78.52583846499999,83.35080988
83.35080988,85.2240444
85.2240444,78.441900575
78.441900575,79.112502825
79.112502825,79.01525316
79.01525316,90.447331355
90.447331355,83.49757856
83.49757856,78.32899391000001
78.32899391000001,92.184188665
92.184188665,83.60186000499999
83.60186000499999,89.25437464000001
89.25437464000001,78.22191063
78.22191063,71.761078915
71.761078915,88.667019985
88.667019985,82.99526598
82.99526598,89.79121627
89.79121627,84.13918153
84.13918153,87.44648469
87.44648469,78.88578118
78.88578118,84.23669656499999
84.23669656499999,81.88680284
81.88680284,78.78824013
78.78824013,87.07406619
87.07406619,69.78681872
69.78681872,82.056596685
82.056596685,89.512750625
89.512750625,97.70168124
97.70168124,92.75487742
92.75487742,93.092827415
93.092827415,83.50585692499999
83.50585692499999,79.83677201500001
79.83677201500001,94.40655208
94.40655208,76.105396145
76.105396145,91.00150256500001
91.00150256500001,82.309353875
82.309353875,104.21002013
104.21002013,85.84875402
85.84875402,84.119530365
84.119530365,91.279601795
91.279601795,78.40853649
78.40853649,87.389582245
87.389582245,96.29404584
96.29404584,84.08059918000001
84.08059918000001,88.74748151
88.74748151,86.87459453
86.87459453,79.389371675
79.389371675,97.42849498999999
97.42849498999999,96.28645331999999
96.28645331999999,91.28919711500001
91.28919711500001,98.707507575
98.707507575,95.08537638
95.08537638,98.22072598999999
98.22072598999999,83.366432785
83.366432785,89.008797145
89.008797145,93.80034357
93.80034357,92.85028346
92.85028346,91.3732486
91.3732486,93.09183193
93.09183193,87.43112084500001
87.43112084500001,105.99835052
105.99835052,83.567670005
83.567670005,92.217073125
92.217073125,93.37023009
93.37023009,103.325174205
103.325174205,87.592057535
87.592057535,95.614580165
95.614580165,102.301753095
102.301753095,103.05534206
103.05534206,104.45232931500001
104.45232931500001,95.145564565
95.145564565,97.39039044
97.39039044,95.26577755999999
95.26577755999999,92.84030742499999
92.84030742499999,86.81561657
86.81561657,89.179370865
89.179370865,101.92487137
101.92487137,98.388102005
98.388102005,90.03142417000001
90.03142417000001,100.57188715000001
100.57188715000001,96.270181465
96.270181465,91.15111333
91.15111333,91.65271161999999
91.65271161999999,85.17757635
85.17757635,106.658920225
106.658920225,91.116335845
91.116335845,91.98453139
91.98453139,93.535791185
93.535791185,81.90930214
81.90930214,96.30276735000001
96.30276735000001,103.39171037
103.39171037,97.230085145
97.230085145,103.466005915
103.466005915,98.322823415
98.322823415,100.77122492500001
100.77122492500001,98.54717718
98.54717718,88.304150655
88.304150655,103.877380085
103.877380085,112.30363046
112.30363046,95.69801904
95.69801904,95.387779075
95.387779075,100.12092110500001
100.12092110500001,93.419622135
93.419622135,90.921904255
90.921904255,105.04071843
105.04071843,99.593374605
99.593374605,104.90311148500001
104.90311148500001,98.626810175
98.626810175,97.46704379
97.46704379,90.7234676
90.7234676,95.503810215
95.503810215,99.65460523
99.65460523,94.369327855
94.369327855,108.864394695
108.864394695,112.05806520000002
112.05806520000002,96.41842273
96.41842273,101.581759165
101.581759165,94.58511854
94.58511854,92.522805285
92.522805285,99.55732111
99.55732111,101.87039734
101.87039734,99.900997215
99.900997215,104.52378127
104.52378127,102.20699644
102.20699644,108.20139801
108.20139801,109.55178937
109.55178937,108.47186824
108.47186824,96.37638967
96.37638967,102.553792055
102.553792055,112.764911375
112.764911375,93.005556865
93.005556865,107.21634838
107.21634838,110.99686722
110.99686722,105.398001955
105.398001955,92.647696325
92.647696325,114.506222675
114.506222675,106.773788615
106.773788615,105.222971265
105.222971265,111.77700210500001
111.77700210500001,100.399074295
100.399074295,104.651439755
104.651439755,111.63937427
111.63937427,106.892981075
106.892981075,106.357760205
106.357760205,112.08851193500001
112.08851193500001,113.91512259
113.91512259,111.02087434
111.02087434,108.726553795
108.726553795,110.138732965
110.138732965,111.37519790500001
111.37519790500001,106.35726518999999
106.35726518999999,106.47175992000001
106.47175992000001,122.61860676999999
122.61860676999999,110.59821577
110.59821577,101.068948245
101.068948245,108.829071485
108.829071485,114.04420301
114.04420301,105.85036007
105.85036007,112.24136595499999
112.24136595499999,99.126157825
99.126157825,119.99023183
119.99023183,108.32675193
108.32675193,112.767279155
112.767279155,108.072228075
108.072228075,111.14856409500001
111.14856409500001,117.33487183
117.33487183,101.86833520500001
101.86833520500001,106.30788433
106.30788433,117.360413955
117.360413955,114.68134004500001
114.68134004500001,103.03443709
103.03443709,111.59527673
111.59527673,120.10776024999998
120.10776024999998,108.18003421
108.18003421,103.41309436
103.41309436,116.99722672
116.99722672,122.31901647500001
122.31901647500001,113.23817324
113.23817324,106.37896527
106.37896527,121.666936985
121.666936985,103.93072140999999
103.93072140999999,109.875972895
109.875972895,110.589107765
110.589107765,122.2613557
122.2613557,115.142424195
115.142424195,106.17816314999999
106.17816314999999,122.36792001
122.36792001,110.334805195
110.334805195,119.428363065
119.428363065,107.010230635
107.010230635,109.455070525
109.455070525,115.17977819500001
115.17977819500001,110.21748765
110.21748765,117.858421965
117.858421965,118.0920423
118.0920423,125.224176375
125.224176375,113.671090565
113.671090565,114.361262915
114.361262915,121.188647855
121.188647855,118.65889133
118.65889133,118.158005615
118.158005615,133.461088065
133.461088065,108.014577335
108.014577335,115.66923021
115.66923021,119.04448213
119.04448213,117.823146725
117.823146725,116.11048872
116.11048872,113.84521097999999
113.84521097999999,106.312591515
106.312591515,111.11969129
111.11969129,120.72016862
120.72016862,121.11084731
121.11084731,117.09028631
117.09028631,125.755880655
125.755880655,105.97899417
105.97899417,120.95678142999999
120.95678142999999,117.32236943000001
117.32236943000001,118.807234005
118.807234005,115.23883039
115.23883039,133.60244119
133.60244119,129.71030428
129.71030428,122.252703845
122.252703845,119.38829799
119.38829799,123.885915725
123.885915725,121.21606452
121.21606452,131.34024707999998
131.34024707999998,118.004794565
118.004794565,125.51994624
125.51994624,126.82789917
126.82789917,118.889397035
118.889397035,114.716821055
114.716821055,125.68799361500001
125.68799361500001,122.080928405
122.080928405,123.80864792
123.80864792,138.81538833000002
138.81538833000002,127.30453022
127.30453022,128.24948245000002
128.24948245000002,121.57895060499999
121.57895060499999,113.83485653
113.83485653,123.36575394
123.36575394,128.48797403999998
128.48797403999998,123.08821065000001
123.08821065000001,126.650501905
126.650501905,124.366194835
124.366194835,121.10345808000001
121.10345808000001,127.332213145
127.332213145,127.002640115
127.002640115,131.842116595
131.842116595,129.963489705
129.963489705,133.02366714000001
133.02366714000001,122.5702655
122.5702655,132.57177938
132.57177938,124.43248545499999
124.43248545499999,129.04910876
129.04910876,118.89632812
118.89632812,126.63404566999999
126.63404566999999,135.17443333
135.17443333,124.53229640999999
124.53229640999999,131.13512576
131.13512576,138.30570531
138.30570531,125.009645485
125.009645485,129.411363585
129.411363585,127.76307564499999
127.76307564499999,139.492758455
139.492758455,127.45149007500001
127.45149007500001,134.680403935
134.680403935,118.424226375
118.424226375,115.62644361999999
115.62644361999999,136.18591953
136.18591953,137.419688775
137.419688775,133.20476714
133.20476714,122.756196155
122.756196155,128.792892745
128.792892745,122.71355107
122.71355107,128.018709895
128.018709895,137.170802185
137.170802185,136.309455255
136.309455255,130.58579620999998
130.58579620999998,129.41359711
129.41359711,125.669098425
125.669098425,134.46151996999998
134.46151996999998,129.09510244
129.09510244,130.825221175
130.825221175,140.72560293499998
140.72560293499998,127.48686215000001
127.48686215000001,134.049214065
134.049214065,142.63076026
142.63076026,138.42871655
138.42871655,134.455853765
134.455853765,134.91363431000002
134.91363431000002,139.702517495
139.702517495,134.15071645
134.15071645,153.55881747
153.55881747,139.291496725
139.291496725,130.576503905
130.576503905,135.473341015
135.473341015,133.699828965
133.699828965,146.85953963999998
146.85953963999998,147.786399305
147.786399305,132.51219687
132.51219687,146.478933415
146.478933415,135.788132295
135.788132295,139.769640305
139.769640305,128.02050645
128.02050645,135.80320128
135.80320128,136.03123251
136.03123251,129.413372675
129.413372675,134.076159145
134.076159145,137.54796677
137.54796677,127.753171085
127.753171085,132.87853404999998
132.87853404999998,138.44020999
138.44020999,144.83990036
144.83990036,132.80882204
132.80882204,139.319823995
139.319823995,137.55633976
137.55633976,129.54684872
129.54684872,118.45996540499999
118.45996540499999,138.23491179
138.23491179,140.15902657
140.15902657,140.62327015
140.62327015,131.47373648
131.47373648,137.574928115
137.574928115,141.54281036
141.54281036,126.85584153
126.85584153,152.100731115
152.100731115,125.62400663
125.62400663,138.636997805
138.636997805,140.90536888
140.90536888,142.67291168
142.67291168,134.77078497
134.77078497,128.45347570500002
128.45347570500002,137.548536325
137.548536325,144.97307971499998
144.97307971499998,130.58600952
130.58600952,136.057956645
136.057956645,150.366179295
150.366179295,151.21527655
151.21527655,161.82658615
161.82658615,146.207875345
146.207875345,146.545866
146.545866,149.00727664
149.00727664,144.643570295
144.643570295,143.23965924499998
143.23965924499998,149.070256765
149.070256765,135.65753989
135.65753989,149.277497415
149.277497415,134.406489675
134.406489675,150.46666745
150.46666745,145.386682935
145.386682935,147.928609395
147.928609395,156.53649276
156.53649276,139.83592154
139.83592154,148.924673995
148.924673995,143.32276353
143.32276353,141.6235214
141.6235214,135.25498162
135.25498162,141.853328825
141.853328825,145.04932006
145.04932006,139.1252139
139.1252139,143.08147858499999
143.08147858499999,147.5922256
147.5922256,152.909341725
152.909341725,146.093046895
146.093046895,152.163751645
152.163751645,153.09604131499998
153.09604131499998,147.14666876
147.14666876,156.90764288
156.90764288,148.261802055
148.261802055,148.02510452500002
148.02510452500002,151.158007635
151.158007635,148.03150955
148.03150955,144.5349249
144.5349249,139.943498135
139.943498135,148.034545125
148.034545125,151.150959135
151.150959135,153.682643215
153.682643215,156.225087165
156.225087165,139.354033075
139.354033075,145.53367977
145.53367977,139.82675831
139.82675831,139.687448695
139.687448695,162.36631969
162.36631969,148.892137755
148.892137755,152.66254908500002
152.66254908500002,153.760039925
153.760039925,156.136276855
156.136276855,156.79666296
156.79666296,156.8147547
156.8147547,156.686704735
156.686704735,149.335877785
149.335877785,150.269265575
150.269265575,147.68929793499998
147.68929793499998,153.58925576000001
153.58925576000001,148.43482939
148.43482939,155.567747615
155.567747615,152.612069115
152.612069115,149.39072859499998
149.39072859499998,157.910688295
157.910688295,158.4085928
158.4085928,169.07378667
169.07378667,153.80779899
153.80779899,155.334647775
155.334647775,159.46458279
159.46458279,158.99654673
158.99654673,160.621501535
160.621501535,145.548283425
145.548283425,157.259496685
157.259496685,157.003459945
157.003459945,154.62835000500002
154.62835000500002,156.612307775
156.612307775,159.058648905
159.058648905,150.403964115
150.403964115,150.9573531
150.9573531,161.29335442500002
161.29335442500002,144.327105525
144.327105525,158.20108384
158.20108384,157.18199454
157.18199454,150.78514598
150.78514598,153.78402848500002
153.78402848500002,156.602092665
156.602092665,161.380188385
161.380188385,153.090213525
153.090213525,157.472243075
157.472243075,158.286002485
158.286002485,155.25812038
155.25812038,153.79698294
153.79698294,150.46675043
150.46675043,160.968247135
160.968247135,141.80657429500002
141.80657429500002,156.0615302
156.0615302,152.79422955500002
152.79422955500002,158.489927815
158.489927815,166.06463058
166.06463058,159.85286533000001
159.85286533000001,173.8099219
173.8099219,154.64427348
154.64427348,168.498244565
168.498244565,156.187995265
156.187995265,166.51780008
166.51780008,170.061418985
170.061418985,161.184481895
161.184481895,165.51633596
165.51633596,164.96631553999998
164.96631553999998,159.08109514
159.08109514,169.268503545
169.268503545,156.712133565
156.712133565,171.23205948499998
171.23205948499998,162.511404835
162.511404835,168.478243045
168.478243045,162.837319715
162.837319715,164.885574025
164.885574025,164.879515295
164.879515295,159.80519009
159.80519009,165.155378
165.155378,166.85130961500002
166.85130961500002,161.385825635
161.385825635,154.88406726
154.88406726,175.493453455
175.493453455,162.00829583
162.00829583,172.94850673500002
172.94850673500002,168.54159772499997
168.54159772499997,172.92182324499998
172.92182324499998,158.451133805
158.451133805,155.485237665
155.485237665,158.86833826
158.86833826,156.07480106999998
156.07480106999998,165.29800591999998
165.29800591999998,164.89100684
164.89100684,170.35527896000002
170.35527896000002,177.13929396
177.13929396,170.74775015999998
170.74775015999998,172.81586476
172.81586476,171.145113825
171.145113825,159.95926917
159.95926917,164.02501979500002
164.02501979500002,161.65016501999997
161.65016501999997,158.81920187
158.81920187,170.020657985
170.020657985,162.524675435
162.524675435,168.38002012
168.38002012,172.253837895
172.253837895,170.431854545
170.431854545,179.14784662
179.14784662,176.703013635
176.703013635,162.00169216
162.00169216,179.294930795
179.294930795,163.71941652499999
163.71941652499999,173.65180511
173.65180511,170.881330265
170.881330265,163.5714943
163.5714943,173.147412675
173.147412675,172.445610235
172.445610235,165.990052795
165.990052795,171.83691578
171.83691578,173.29358338
173.29358338,166.827565935
166.827565935,173.92432588
173.92432588,183.354371445
183.354371445,170.5529275
170.5529275,170.34707356500002
170.34707356500002,167.777962715
167.777962715,156.000574395
156.000574395,155.32145116
155.32145116,173.11699175
173.11699175,184.511676725
184.511676725,172.58699013
172.58699013,183.17326316999998
183.17326316999998,178.93670882499998
178.93670882499998,169.619718885
169.619718885,174.75123361500002
174.75123361500002,170.595420255
170.595420255,172.45883243999998
172.45883243999998,175.086858315
175.086858315,167.78834677
167.78834677,183.40958784000003
183.40958784000003,175.85527763
175.85527763,175.499488275
175.499488275,174.505355735
174.505355735,180.010459315
180.010459315,178.032892795
178.032892795,171.123150265
171.123150265,179.323494475
179.323494475,174.67039813
174.67039813,187.29397779
187.29397779,177.142924875
177.142924875,185.823070895
185.823070895,182.612950505
182.612950505,174.71953479
174.71953479,175.913282075
175.913282075,176.48809930500002
176.48809930500002,172.69997461999998
172.69997461999998,183.960271755
183.960271755,188.2728791
188.2728791,183.43669937
183.43669937,184.947748265
184.947748265,181.190112285
181.190112285,180.70727903
180.70727903,174.97364184
174.97364184,182.98925158
182.98925158,180.36599116000002
180.36599116000002,186.855813875
186.855813875,176.44453946
176.44453946,190.15516119
190.15516119,173.572710975
173.572710975,181.98064687500002
181.98064687500002,177.642495245
177.642495245,169.2765667
169.2765667,182.940380105
182.940380105,182.81880221
182.81880221,181.05452833
181.05452833,185.0455586
185.0455586,189.62543803
189.62543803,194.5070385
194.5070385,187.418090625
187.418090625,183.67085077000002
183.67085077000002,179.07978437999998
179.07978437999998,180.744648705
180.744648705,187.3820065
187.3820065,184.38766343
184.38766343,174.017713735
174.017713735,186.622053505
186.622053505,187.569189225
187.569189225,184.157428835
184.157428835,191.6077775
191.6077775,182.20830983500002
182.20830983500002,184.40967075499998
184.40967075499998,187.676607865
187.676607865,195.107405595
195.107405595,175.821845035
175.821845035,183.90456707500002
183.90456707500002,184.662346125
184.662346125,181.936241365
181.936241365,183.29584526
183.29584526,194.25177548
194.25177548,192.08747801500002
192.08747801500002,194.959278475
194.959278475,185.73678437499998
185.73678437499998,200.0585192
200.0585192,173.135891535
173.135891535,188.365574455
188.365574455,187.175827965
187.175827965,192.802112215
192.802112215,185.50970833
185.50970833,194.6264989
194.6264989,168.73251623000002
168.73251623000002,179.052727345
179.052727345,185.229680405
185.229680405,182.97770431499998
182.97770431499998,185.44079256
185.44079256,192.441091375
192.441091375,202.91747114999998
202.91747114999998,183.00720902999998
183.00720902999998,190.46609269
190.46609269,196.420489465
196.420489465,187.061084795
187.061084795,192.60177325499998
192.60177325499998,187.947168245
187.947168245,201.1763744
201.1763744,193.72723092500001
193.72723092500001,202.0974237
202.0974237,189.97743906
189.97743906,192.60034328
192.60034328,193.179050095
193.179050095,193.751421155
193.751421155,198.86010244000002
198.86010244000002,188.88204206999998
188.88204206999998,198.615283085
198.615283085,190.19628174000002
190.19628174000002,190.320638965
190.320638965,189.01319496500003
189.01319496500003,185.94919024499998
185.94919024499998,197.56760945
197.56760945,191.758735975
191.758735975,189.231416295
189.231416295,198.740625155
198.740625155,197.45242454499999
197.45242454499999,192.048554115
192.048554115,189.966246025
189.966246025,198.39526574
198.39526574,192.92444010000003
192.92444010000003,196.31478976
196.31478976,194.723086075
194.723086075,194.53311409
194.53311409,194.134560185
194.134560185,196.41932905000002
196.41932905000002,192.61939874499998
192.61939874499998,184.70555136
184.70555136,196.924264975
196.924264975,191.133461375
191.133461375,201.04421893
201.04421893,204.98240355
204.98240355,195.962905415
195.962905415,198.421786215
198.421786215,196.95681768
196.95681768,195.986433245
195.986433245,197.018995685
197.018995685,202.5216396
202.5216396,199.228353855
199.228353855,203.536802675
203.536802675,199.02788943500002
199.02788943500002,205.29412825499998
205.29412825499998,197.79358102999998
197.79358102999998,207.30628769999998
207.30628769999998,203.314265475
203.314265475,198.09311272500003
198.09311272500003,201.27211774999998
201.27211774999998,194.37720198
194.37720198,196.737060035
196.737060035,200.07105495000002
200.07105495000002,199.181881895
199.181881895,209.56325015
209.56325015,204.162216955
204.162216955,193.98862802
193.98862802,202.30708894
202.30708894,197.04818868
197.04818868,200.71604351
200.71604351,208.76909809
208.76909809,208.593622895
208.593622895,202.302117195
202.302117195,211.99142440000003
211.99142440000003,201.34172688499999
201.34172688499999,207.50823658
207.50823658,209.69252861500001
209.69252861500001,199.75348502
199.75348502,200.482286735
200.482286735,200.4184072
200.4184072,205.874224625
205.874224625,203.230516875
203.230516875,201.17241194500002
201.17241194500002,215.75068245
215.75068245,202.26413843499998
202.26413843499998,202.831816205
202.831816205,197.80817144
197.80817144,201.359727965
201.359727965,199.537265745
199.537265745,208.49499071
