n,Error
2,2
3,4.223731480043438
5,4.237519651145574
7,3.902285515607314
11,5.265885461193946
13,4.381254699935713
17,5.288020282564872
19,4.015672721869752
23,4.586723730384225
29,7.01882461757998
31,5.326146787057347
37,7.520299082160083
41,7.6109548012745805
43,5.606292447503272
47,5.513313589195924
53,7.338077395551885
59,9.085877229873049
61,6.761376021438863
67,8.368711704918077
71,7.911580521621211
73,5.393303674648422
79,6.816881279758562
83,6.185036488849818
89,7.500251917892157
97,10.764799981118585
101,9.980768350395579
103,7.150081478193272
107,6.274518914403501
109,3.3557309909100894
113,2.3952523290890895
127,11.394513534331352
131,10.354851371130792
137,11.277517657152416
139,8.163687071256419
149,13.014464035962078
151,9.830888807246282
157,10.613942882353513
163,11.364553818284662
167,10.083599538948363
173,10.771912196913092
179,11.430281645768844
181,8.05945857087471
191,12.660157319413969
193,9.233058464942246
197,7.778811136794332
199,4.29803514064497
211,10.791322893075431
223,17.259241190062426
227,15.70233282680644
229,12.121118084170405
233,10.51609609515981
239,10.887746103284087
241,7.23652862326847
251,11.562886513391305
257,11.867245967687097
263,12.150017435351316
269,12.411596473892132
271,8.652364541881752
277,8.872689736551422
281,7.072927480936812
283,3.2534211648082305
293,7.414502743200785
307,15.556493295987877
311,13.679703551612022
313,9.784434377793104
317,7.870977241773176
331,15.939614642420452
337,15.990620516309548
347,20.024260619704307
349,16.040792888200883
353,14.04046777564048
359,14.023528573759961
367,15.990211713929114
373,15.940747052208792
379,15.875358138867284
383,13.794262473394781
389,13.697671745981268
397,15.585792066339707
401,13.45882418069283
409,15.316963677678245
419,19.160401183868657
421,14.98932254955406
431,18.803909025381813
433,14.604337430412102
439,14.390780312100105
443,12.163406098687005
449,11.92237924443998
457,13.667860368159097
461,11.400006385333995
463,7.118970634309335
467,4.824902996796823
479,10.51795001304356
487,12.198254991951444
491,9.865958116419222
499,11.521196544164752
503,9.164104504265936
509,8.794813389645128
521,14.413451845707925
523,10.020145855333112
541,21.615018820400678
547,21.198191640030473
557,24.769782785697203
563,24.329908373374337
569,23.87868223285443
571,19.416215974378815
577,18.942619052710484
587,22.457998828767018
593,21.96246062893158
599,21.45610780214929
601,16.939041774909242
607,16.41136210421348
613,15.873166528619095
617,13.324551017443241
619,8.765609818213306
631,14.196435502436316
641,17.617119009765247
643,13.02774969062898
647,10.428415347393525
653,9.819202274116378
659,9.200195294953119
661,4.571477801274568
673,9.933131787547154
677,7.285237886025357
683,6.627875400309222
691,7.961122337809684
701,11.285055441166492
709,12.599750218660688
719,15.905280973662002
727,17.20172083314901
733,16.489141775336748
739,15.767614656448359
743,13.03720923666242
751,14.297994205267742
757,13.550037205056697
761,10.793404855982203
769,12.028162778110982
773,9.254375613894467
787,16.47210704978545
797,19.681419837222393
809,24.882375813006206
811,20.07503591908869
821,23.259460221797212
823,18.435707930511967
827,15.60383741581677
829,10.763906227144048
839,13.91597110992518
853,21.060088022271884
857,18.196312151196253
859,13.324697928391743
863,10.445299045585898
877,17.558168469480393
881,14.66335845629385
883,9.76092056591665
887,6.850905675694321
907,19.933363993850662
911,17.008345072560246
919,18.075897820684077
929,21.136070516178393
937,22.188910818186628
941,19.234465778825438
947,18.272781854671848
953,17.303904917966747
967,24.327880267534624
971,21.34475263943807
977,20.354566217367278
983,19.357364642776247
991,20.353191024775356
997,19.342087949781444
1009,24.32409749093904
1013,21.29926121731603
1019,20.26762020288197
1021,15.229215035273342
1031,18.184085824354838
1033,13.132272210581618
1039,12.073813373165422
1049,15.008748038056183
1051,9.937114485736629
1061,12.858950558844299
1063,7.774293669616327
1069,6.6831808071708565
1087,17.585648544621563
1091,14.48173304603688
1093,9.371470073242563
1097,6.254894992477375
1103,5.13204278090052
1109,4.00294803295742
1117,4.867644966611351
1123,3.726167429434099
1129,2.5785489045722443
1151,17.424822516583617
1153,12.265021037149154
1163,15.099176890666968
1171,15.927322159725463
1181,18.74948859046617
1187,17.56570759783108
1193,16.37601027070582
1201,17.180427376952593
1213,21.978989368345083
1217,18.771726385397415
1223,17.55866826210081
1229,16.33984453056155
1231,11.115284425545951
1237,9.885016888937116
1249,14.649070574099596
1259,17.407473850161068
1277,28.160254806209196
1279,22.907441255405047
1283,19.649060739016477
1289,18.385140530376702
1291,13.11570763876125
1297,11.840788813195559
1301,8.560410546186631
1303,3.274599077385119
1307,-0.01661960282262953
1319,4.686780250211314
1321,-0.6151758611458717
1327,-1.9224626734114736
1361,24.764944841341958
1367,23.447071478756698
1373,22.123941805401955
1381,22.79558016192118
1399,33.46201066612821
1409,36.12325721604316
1423,42.779343492875796
1427,39.43029296395389
1429,34.076128885599246
1433,30.71687430595398
1439,29.35255206775423
1447,29.983184811056844
1451,26.608794975917135
1453,21.229404805020522
1459,19.845036346266852
1471,24.455711455311985
1481,27.061451798062535
1483,21.662278853132193
1487,18.258213914248927
1489,12.849278092629902
1493,9.435492319307741
1499,8.016877347423815
1511,12.59345375447765
1523,17.165241944543823
1531,17.73226215044656
1543,22.294534435902506
1549,20.852078697625302
1553,17.40491466739695
1559,15.953061914103728
1567,16.49653984573888
1571,13.035367711376011
1579,13.569564603104936
1583,10.099149457939575
1597,16.624141059695376
1601,13.144558040835136
1607,11.660418884286628
1609,6.171741925229071
1613,2.6785453528552807
1619,1.1808472121001614
1621,-4.321334594651034
1627,-5.827982305886962
1637,-3.339078299317862
1657,9.145394909749712
1663,7.625454670015415
1667,4.101118195760137
1669,-1.4275974316021802
1693,15.039324738004552
1697,11.50190152482196
1699,5.960149620741049
1709,8.414085590760351
1721,12.863725874424063
1723,7.309086787237902
1733,9.750184522063819
1741,10.187035150494467
1747,8.619654624205396
1753,7.048058776289963
1759,5.472263322573326
1777,15.892283862904605
1783,14.30813588243609
1787,10.719834752876295
1789,5.127395733732101
1801,9.530833973527706
1811,11.930164511007206
1823,16.325402276322393
1831,16.716562092199638
1847,25.103658675093357
1861,31.486706636320832
1867,29.865720483183168
1871,26.240714620067365
1873,20.61170334953499
1877,16.978700873397656
1879,11.341721293771116
1889,13.700778614122328
1901,18.055886740294227
1907,16.40705948152481
1913,14.75431055144395
1931,25.09765356906246
1933,19.43710205974412
1949,27.772669456166568
1951,22.104369099267387
1973,36.4322142391793
1979,34.75621803615127
1987,35.07639356145751
1993,33.392753798292915
1997,29.7053116426614
1999,24.01407990424582
2003,20.31907130727086
2011,20.620298491353424
2017,18.917774012340487
2027,21.211510343137434
2029,15.501519874525684
2039,17.787814915967147
2053,24.07040769640298
2063,26.349310365036445
2069,24.624534992108465
2081,28.896093569664572
2083,23.16399801230864
2087,19.428260157949808
2089,13.68889176853827
2099,15.945904530791267
2111,20.19931005691251
2113,14.449119885299297
2129,22.69534548124284
2131,16.93799823761765
2137,15.17708947556639
2141,11.412630445171544
2143,5.64463232611979
2153,7.873106228361394
2161,8.098063192756399
2179,18.319514191718554
2203,34.53747012984513
2207,30.75194184454358
2213,28.962940106648603
2221,29.170475621032438
2237,37.37455902720785
2239,31.575200899921583
2243,27.77241174974415
2251,27.966202023651476
2267,36.15658210559559
2269,30.343562317073975
2273,26.527152917690728
2281,26.707364105709075
2287,24.88420601859707
2293,23.057688733571013
2297,19.22782226812751
2309,23.394616580572347
2311,17.558081570542072
2333,31.718227079519238
2339,29.875062891343077
2341,24.028598732712
2347,22.178844273681534
2351,18.325809128156834
2357,16.469502854379698
2371,22.60993495540788
2377,20.747114879591663
2381,16.881052021042706
2383,11.0117557200997
2389,9.139235263786759
2393,5.263499886267709
2399,3.384558769294472
2411,7.502421042651349
2417,5.617095784594767
2423,3.7285920222852837
2437,9.836918732217782
2441,5.9420848406466575
2447,4.044099224002821
2459,8.142970709310248
2467,8.238708074596616
2473,6.331320049299393
2477,2.420815314664651
2503,20.5072025041477
2521,30.59049020380189
2531,32.67068695266971
2539,32.74780124316612
2543,28.821841521457372
2549,26.892816187838434
2551,20.960733597104536
2557,19.02560205891723
2579,33.08742983817001
2591,37.146225155346656
2593,31.201996186880024
2609,39.254751065501296
2617,39.304497880589224
2621,35.351244678518015
2633,39.39499946299202
2647,45.43577019539134
2657,47.473564795099264
2659,41.50839113983557
2663,37.540257065986225
2671,37.56917036892128
2677,35.59513880331906
2683,33.618170083483164
2687,29.638271883654397
2689,23.655451838323643
