"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.05.28 7:30 PM GMT","Phoenix International Raceway - 2008 - Rallycross","Rookie iRacing Rallycross Series","2019","2","A","12","1316",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","91","VW Beetle","105","Rallycross","352260","352260","Jonathan Poulet","1","4","0","Running","-00.000","7","","39.786","38.426","9","10","0","71","5","R","40","Benelux","","","2","250","2","268","Rookie iRacing Rallycross Series","100","0","71"
"2","91","VW Beetle","105","Rallycross","345875","345875","Kellie Carden","2","1","0","Running","-23.093","3","","42.095","39.620","2","10","0","56","3","R","32","West","1269","1321","6","268","6","282","Rookie iRacing Rallycross Series","100","0","56"
"3","91","VW Beetle","105","Rallycross","376680","376680","Luis Valdés","4","5","0","Running","-31.775","0","","42.963","39.911","5","10","2","42","1","R","24","Hispanoamérica","","","2","250","2","263","Rookie iRacing Rallycross Series","100","0","42"
"4","91","VW Beetle","105","Rallycross","378375","378375","Jean Barreto De Jesus","3","2","0","Running","-34.867","0","","43.272","39.914","7","10","8","28","0","R","45","Brazil","1220","1209","7","379","7","370","Rookie iRacing Rallycross Series","100","0","28"
"5","91","VW Beetle","105","Rallycross","366606","366606","Noriko Guindon Leger","5","3","32","Disconnected","-8 L","0","","54.278","","","2","2","14","0","R","15","Canada","","","2","276","2","277","Rookie iRacing Rallycross Series","100","0","14"
"6","91","VW Beetle","105","Rallycross","336082","336082","Brad Wyatt3","6","6","32","Disconnected","-10 L","0","","00.000","","","0","0","0","0","R","23","Mid-South","","","2","250","2","250","Rookie iRacing Rallycross Series","100","0","0"
