"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.05.28 8:30 PM GMT","Phoenix International Raceway - 2008 - Rallycross","Rookie iRacing Rallycross Series","2019","2","A","12","1359",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","91","VW Beetle","105","Rallycross","42089","42089","Scott Malvern","1","1","0","Running","-00.000","9","","38.929","38.168","3","10","2","77","7","R","36","UK and I","","","2","287","3","342","Rookie iRacing Rallycross Series","100","0","77"
"2","91","VW Beetle","105","Rallycross","305227","305227","Steven Burden","2","3","0","Running","-05.178","1","","39.446","38.695","3","10","0","66","5","R","36","UK and I","","","2","267","2","286","Rookie iRacing Rallycross Series","100","0","66"
"3","91","VW Beetle","105","Rallycross","345875","345875","Kellie Carden","3","2","0","Running","-19.125","0","","40.841","38.879","2","10","4","55","3","R","32","West","1321","1360","6","282","6","285","Rookie iRacing Rallycross Series","100","0","55"
"4","91","VW Beetle","105","Rallycross","333132","333132","Matthew Byars","6","5","0","Running","-52.644","0","","44.936","40.755","9","10","2","44","1","R","23","Mid-South","1211","1231","6","271","6","281","Rookie iRacing Rallycross Series","100","0","44"
"5","101","Subaru WRX STI","105","Rallycross","106532","106532","Ryan Halliday","5","7","0","Running","-1 L","0","","48.193","41.975","4","9","10","33","0","R","14","New York","","","2","250","2","247","Rookie iRacing Rallycross Series","100","0","33"
"6","91","VW Beetle","105","Rallycross","363569","363569","Thierry Vossier","4","4","0","Running","-2 L","0","","46.841","39.725","7","8","2","22","0","R","39","France","","","2","273","2","283","Rookie iRacing Rallycross Series","100","0","22"
"7","91","VW Beetle","105","Rallycross","260090","260090","Ian Dilick","7","6","32","Disconnected","-10 L","0","","00.000","","","0","0","0","0","R","23","Mid-South","","","2","250","2","250","Rookie iRacing Rallycross Series","100","0","0"
"8","91","VW Beetle","105","Rallycross","119604","119604","Francisco Cadenas Ruiz","8","8","32","Disconnected","-10 L","0","","00.000","","","0","0","0","0","R","38","Iberia","","","2","250","2","250","Rookie iRacing Rallycross Series","100","0","0"
